Problem:    immagini
Rows:       75
Columns:    40 (40 integer, 40 binary)
Non-zeros:  219
Status:     INTEGER OPTIMAL
Objective:  ricavi = 4892 (MAXimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 tempo_totale             -288          -300               
     2 sovrapposizione[1,2]
                                   1                           1 
     3 sovrapposizione[6,7]
                                   1                           1 
     4 sovrapposizione[13,14]
                                   1                           1 
     5 sovrapposizione[13,15]
                                   1                           1 
     6 sovrapposizione[14,15]
                                   0                           1 
     7 sovrapposizione[14,16]
                                   1                           1 
     8 sovrapposizione[15,16]
                                   1                           1 
     9 sovrapposizione[15,17]
                                   0                           1 
    10 sovrapposizione[15,18]
                                   0                           1 
    11 sovrapposizione[15,19]
                                   0                           1 
    12 sovrapposizione[15,20]
                                   0                           1 
    13 sovrapposizione[16,17]
                                   1                           1 
    14 sovrapposizione[16,18]
                                   1                           1 
    15 sovrapposizione[16,19]
                                   1                           1 
    16 sovrapposizione[16,20]
                                   1                           1 
    17 sovrapposizione[16,21]
                                   1                           1 
    18 sovrapposizione[17,18]
                                   0                           1 
    19 sovrapposizione[17,19]
                                   0                           1 
    20 sovrapposizione[17,20]
                                   0                           1 
    21 sovrapposizione[18,19]
                                   0                           1 
    22 sovrapposizione[18,20]
                                   0                           1 
    23 sovrapposizione[19,20]
                                   0                           1 
    24 sovrapposizione[19,21]
                                   0                           1 
    25 sovrapposizione[19,22]
                                   1                           1 
    26 sovrapposizione[20,21]
                                   0                           1 
    27 sovrapposizione[21,22]
                                   1                           1 
    28 sovrapposizione[21,23]
                                   1                           1 
    29 sovrapposizione[24,25]
                                   1                           1 
    30 sovrapposizione[24,26]
                                   1                           1 
    31 sovrapposizione[24,27]
                                   1                           1 
    32 sovrapposizione[24,28]
                                   1                           1 
    33 sovrapposizione[24,29]
                                   1                           1 
    34 sovrapposizione[24,30]
                                   1                           1 
    35 sovrapposizione[24,31]
                                   1                           1 
    36 sovrapposizione[24,32]
                                   1                           1 
    37 sovrapposizione[24,33]
                                   1                           1 
    38 sovrapposizione[24,34]
                                   1                           1 
    39 sovrapposizione[25,26]
                                   0                           1 
    40 sovrapposizione[26,27]
                                   0                           1 
    41 sovrapposizione[26,28]
                                   0                           1 
    42 sovrapposizione[26,29]
                                   0                           1 
    43 sovrapposizione[26,30]
                                   0                           1 
    44 sovrapposizione[27,28]
                                   0                           1 
    45 sovrapposizione[29,30]
                                   0                           1 
    46 sovrapposizione[29,31]
                                   0                           1 
    47 sovrapposizione[29,32]
                                   0                           1 
    48 sovrapposizione[29,33]
                                   0                           1 
    49 sovrapposizione[30,31]
                                   0                           1 
